Source: USDA National Nutrient Database for Standard Reference Legacy April 2018 Software v.3.9.4.1 2018-06-11
Full Report (All Nutrients)
Report Run at: July 02 2018 05:47 EDT
"Nutrient data for: Lemons, raw, without peel"
Food Group:  Fruits and Fruit Juices
Common Name:
Carbohydrate Factor: Fat Factor: Protein Factor: Nitrogen to Protein Conversion Factor: 
Refuse: Refuse Description: 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup, sections = 212.0g","1 fruit (2-1/8"" dia) = 58.0g","1 fruit (2-3/8"" dia) = 84.0g","1 wedge or slice (1/8 of one 2-1/8"" dia lemon) = 7.0g","1 NLEA serving = 58.0g",
Proximates
"Water",g,88.98,5,0.820,188.64,51.61,74.74,6.23,51.61
"Energy",kcal,29,--,--,61,17,24,2,17
"Energy",kJ,121,--,--,257,70,102,8,70
"Protein",g,1.10,--,--,2.33,0.64,0.92,0.08,0.64
"Total lipid (fat)",g,0.30,--,--,0.64,0.17,0.25,0.02,0.17
"Ash",g,0.30,--,--,0.64,0.17,0.25,0.02,0.17
"Carbohydrate, by difference",g,9.32,--,--,19.76,5.41,7.83,0.65,5.41
"Fiber, total dietary",g,2.8,--,--,5.9,1.6,2.4,0.2,1.6
"Sugars, total",g,2.50,--,--,5.30,1.45,2.10,0.17,1.45
Minerals
"Calcium, Ca",mg,26,--,--,55,15,22,2,15
"Iron, Fe",mg,0.60,--,--,1.27,0.35,0.50,0.04,0.35
"Magnesium, Mg",mg,8,--,--,17,5,7,1,5
"Phosphorus, P",mg,16,--,--,34,9,13,1,9
"Potassium, K",mg,138,--,--,293,80,116,10,80
"Sodium, Na",mg,2,--,--,4,1,2,0,1
"Zinc, Zn",mg,0.06,1,--,0.13,0.03,0.05,0.00,0.03
"Copper, Cu",mg,0.037,1,--,0.078,0.021,0.031,0.003,0.021
"Manganese, Mn",mg,0.030,--,--,0.064,0.017,0.025,0.002,0.017
"Selenium, Se",µg,0.4,--,--,0.8,0.2,0.3,0.0,0.2
Vitamins
"Vitamin C, total ascorbic acid",mg,53.0,--,--,112.4,30.7,44.5,3.7,30.7
"Thiamin",mg,0.040,--,--,0.085,0.023,0.034,0.003,0.023
"Riboflavin",mg,0.020,--,--,0.042,0.012,0.017,0.001,0.012
"Niacin",mg,0.100,--,--,0.212,0.058,0.084,0.007,0.058
"Pantothenic acid",mg,0.190,--,--,0.403,0.110,0.160,0.013,0.110
"Vitamin B-6",mg,0.080,--,--,0.170,0.046,0.067,0.006,0.046
"Folate, total",µg,11,7,2.000,23,6,9,1,6
"Folic acid",µg,0,--,--,0,0,0,0,0
"Folate, food",µg,11,7,2.000,23,6,9,1,6
"Folate, DFE",µg,11,--,--,23,6,9,1,6
"Choline, total",mg,5.1,--,--,10.8,3.0,4.3,0.4,3.0
"Vitamin B-12",µg,0.00,--,--,0.00,0.00,0.00,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,1,--,--,2,1,1,0,1
"Retinol",µg,0,--,--,0,0,0,0,0
"Carotene, beta",µg,3,2,--,6,2,3,0,2
"Carotene, alpha",µg,1,2,--,2,1,1,0,1
