Source: USDA National Nutrient Database for Standard Reference Legacy April 2018 Software v.3.9.4.1 2018-06-11
Full Report (All Nutrients)
Report Run at: July 02 2018 05:38 EDT
"Nutrient data for: Nuts, almonds"
Food Group:  Nut and Seed Products
Common Name:
Carbohydrate Factor: 4.07 Fat Factor: 8.37 Protein Factor: 3.47 Nitrogen to Protein Conversion Factor: 5.18 
Refuse: 60% Refuse Description: Shells 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup, whole = 143.0g","1 cup, sliced = 92.0g","1 cup, slivered = 108.0g","1 cup, ground = 95.0g","1 oz (23 whole kernels) = 28.35g","1 almond = 1.2g",
Proximates
"Water",g,4.41,90,0.210,6.31,4.06,4.76,4.19,1.25,0.05
"Energy",kcal,579,--,--,828,533,625,550,164,7
"Energy",kJ,2423,--,--,3465,2229,2617,2302,687,29
"Protein",g,21.15,91,0.110,30.24,19.46,22.84,20.09,6.00,0.25
"Total lipid (fat)",g,49.93,90,0.280,71.40,45.94,53.92,47.43,14.16,0.60
"Ash",g,2.97,90,0.040,4.25,2.73,3.21,2.82,0.84,0.04
"Carbohydrate, by difference",g,21.55,--,--,30.82,19.83,23.27,20.47,6.11,0.26
"Fiber, total dietary",g,12.5,89,0.200,17.9,11.5,13.5,11.9,3.5,0.1
"Sugars, total",g,4.35,--,--,6.22,4.00,4.70,4.13,1.23,0.05
"Sucrose",g,3.95,93,0.210,5.65,3.63,4.27,3.75,1.12,0.05
"Glucose (dextrose)",g,0.17,93,0.030,0.24,0.16,0.18,0.16,0.05,0.00
"Fructose",g,0.11,93,0.040,0.16,0.10,0.12,0.10,0.03,0.00
"Lactose",g,0.00,93,0.000,0.00,0.00,0.00,0.00,0.00,0.00
"Maltose",g,0.04,93,0.020,0.06,0.04,0.04,0.04,0.01,0.00
"Galactose",g,0.07,88,0.020,0.10,0.06,0.08,0.07,0.02,0.00
"Starch",g,0.72,4,0.100,1.03,0.66,0.78,0.68,0.20,0.01
Minerals
"Calcium, Ca",mg,269,89,7.000,385,247,291,256,76,3
"Iron, Fe",mg,3.71,89,0.130,5.31,3.41,4.01,3.52,1.05,0.04
"Magnesium, Mg",mg,270,88,1.000,386,248,292,256,77,3
