Source: USDA National Nutrient Database for Standard Reference Legacy April 2018 Software v.3.9.4.1 2018-06-11
Full Report (All Nutrients)
Report Run at: July 02 2018 05:47 EDT
"Nutrient data for: Nuts, pecans"
Food Group:  Nut and Seed Products
Common Name:
Carbohydrate Factor: 4.07 Fat Factor: 8.37 Protein Factor: 3.47 Nitrogen to Protein Conversion Factor: 5.3 
Refuse: 47% Refuse Description: Shells 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup, chopped = 109.0g","1 cup, halves = 99.0g","1 oz (19 halves) = 28.35g",
Proximates
"Water",g,3.52,3,0.110,3.84,3.48,1.00
"Energy",kcal,691,--,--,753,684,196
"Energy",kJ,2889,--,--,3149,2860,819
"Protein",g,9.17,3,0.080,10.00,9.08,2.60
"Total lipid (fat)",g,71.97,3,0.120,78.45,71.25,20.40
"Ash",g,1.49,3,0.050,1.62,1.48,0.42
"Carbohydrate, by difference",g,13.86,--,--,15.11,13.72,3.93
"Fiber, total dietary",g,9.6,3,0.400,10.5,9.5,2.7
"Sugars, total",g,3.97,3,0.150,4.33,3.93,1.13
"Sucrose",g,3.90,3,0.150,4.25,3.86,1.11
"Glucose (dextrose)",g,0.04,3,0.000,0.04,0.04,0.01
"Fructose",g,0.04,3,0.000,0.04,0.04,0.01
"Lactose",g,0.00,3,0.000,0.00,0.00,0.00
"Maltose",g,0.00,3,0.000,0.00,0.00,0.00
"Starch",g,0.46,3,0.040,0.50,0.46,0.13
Minerals
"Calcium, Ca",mg,70,3,4.000,76,69,20
"Iron, Fe",mg,2.53,3,0.260,2.76,2.50,0.72
"Magnesium, Mg",mg,121,3,4.000,132,120,34
"Phosphorus, P",mg,277,3,17.000,302,274,79
"Potassium, K",mg,410,3,17.000,447,406,116
"Sodium, Na",mg,0,3,0.000,0,0,0
"Zinc, Zn",mg,4.53,3,0.130,4.94,4.48,1.28
"Copper, Cu",mg,1.200,3,0.058,1.308,1.188,0.340
"Manganese, Mn",mg,4.500,3,1.050,4.905,4.455,1.276
"Selenium, Se",µg,3.8,9,0.100,4.1,3.8,1.1
"Fluoride, F",µg,10.0,9,--,10.9,9.9,2.8
Vitamins
"Vitamin C, total ascorbic acid",mg,1.1,3,0.400,1.2,1.1,0.3
