Source: USDA National Nutrient Database for Standard Reference Legacy April 2018 Software v.3.9.4.1 2018-06-11
Full Report (All Nutrients)
Report Run at: July 02 2018 08:40 EDT
"Nutrient data for: Oranges, raw, all commercial varieties"
Food Group:  Fruits and Fruit Juices
Common Name:
Carbohydrate Factor: 3.6 Fat Factor: 8.37 Protein Factor: 3.36 Nitrogen to Protein Conversion Factor: 6.25 
Refuse: 27% Refuse Description: Peel and seeds 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup, sections = 180.0g","1 large (3-1/16"" dia) = 184.0g","1 small (2-3/8"" dia) = 96.0g","1 fruit (2-5/8"" dia) = 131.0g",
Proximates
"Water",g,86.75,88,0.120,156.15,159.62,83.28,113.64
"Energy",kcal,47,--,--,85,86,45,62
"Energy",kJ,197,--,--,355,362,189,258
"Protein",g,0.94,69,0.010,1.69,1.73,0.90,1.23
"Total lipid (fat)",g,0.12,4,0.010,0.22,0.22,0.12,0.16
"Ash",g,0.44,70,0.006,0.79,0.81,0.42,0.58
"Carbohydrate, by difference",g,11.75,--,--,21.15,21.62,11.28,15.39
"Fiber, total dietary",g,2.4,--,--,4.3,4.4,2.3,3.1
"Sugars, total",g,9.35,--,--,16.83,17.20,8.98,12.25
Minerals
"Calcium, Ca",mg,40,--,--,72,74,38,52
"Iron, Fe",mg,0.10,64,0.004,0.18,0.18,0.10,0.13
"Magnesium, Mg",mg,10,212,0.000,18,18,10,13
"Phosphorus, P",mg,14,68,0.000,25,26,13,18
"Potassium, K",mg,181,180,1.000,326,333,174,237
"Sodium, Na",mg,0,72,0.000,0,0,0,0
"Zinc, Zn",mg,0.07,3,--,0.13,0.13,0.07,0.09
"Copper, Cu",mg,0.045,64,0.003,0.081,0.083,0.043,0.059
"Manganese, Mn",mg,0.025,64,0.001,0.045,0.046,0.024,0.033
"Selenium, Se",µg,0.5,5,0.200,0.9,0.9,0.5,0.7
Vitamins
"Vitamin C, total ascorbic acid",mg,53.2,145,0.700,95.8,97.9,51.1,69.7
"Thiamin",mg,0.087,148,0.001,0.157,0.160,0.084,0.114
"Riboflavin",mg,0.040,--,--,0.072,0.074,0.038,0.052
