Source: USDA National Nutrient Database for Standard Reference Legacy April 2018 Software v.3.9.4 2018-05-17
Full Report (All Nutrients)
Report Run at: July 01, 2018 15:37 EDT
"Nutrient data for: 11090, Broccoli, raw"
Food Group:  Vegetables and Vegetable Products
Common Name:
Carbohydrate Factor: 3.57 Fat Factor: 8.37 Protein Factor: 2.44 Nitrogen to Protein Conversion Factor: 6.25 
Refuse: 39% Refuse Description: Leaves and tough stalks with trimmings 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup chopped = 91.0g","1 bunch = 608.0g","1 spear (about 5"" long) = 31.0g","1 stalk = 151.0g","0.5 cup, chopped or diced = 44.0g","1 NLEA serving = 148.0g",
Proximates
"Water",g,89.30,49,1.030,81.26,542.94,27.68,134.84,39.29,132.16
"Energy",kcal,34,--,--,31,207,11,51,15,50
"Energy",kJ,141,--,--,128,857,44,213,62,209
"Protein",g,2.82,23,0.430,2.57,17.15,0.87,4.26,1.24,4.17
"Total lipid (fat)",g,0.37,29,0.004,0.34,2.25,0.11,0.56,0.16,0.55
"Ash",g,0.87,23,0.030,0.79,5.29,0.27,1.31,0.38,1.29
"Carbohydrate, by difference",g,6.64,--,--,6.04,40.37,2.06,10.03,2.92,9.83
"Fiber, total dietary",g,2.6,13,0.200,2.4,15.8,0.8,3.9,1.1,3.8
"Sugars, total",g,1.70,--,--,1.55,10.34,0.53,2.57,0.75,2.52
"Sucrose",g,0.10,16,0.050,0.09,0.61,0.03,0.15,0.04,0.15
"Glucose (dextrose)",g,0.49,18,0.070,0.45,2.98,0.15,0.74,0.22,0.73
"Fructose",g,0.68,17,0.050,0.62,4.13,0.21,1.03,0.30,1.01
"Lactose",g,0.21,9,0.000,0.19,1.28,0.07,0.32,0.09,0.31
"Maltose",g,0.21,9,0.000,0.19,1.28,0.07,0.32,0.09,0.31
"Galactose",g,0.00,5,0.000,0.00,0.00,0.00,0.00,0.00,0.00
"Starch",g,0.00,1,--,0.00,0.00,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,47,33,5.000,43,286,15,71,21,70
"Iron, Fe",mg,0.73,33,0.090,0.66,4.44,0.23,1.10,0.32,1.08
"Magnesium, Mg",mg,21,33,2.000,19,128,7,32,9,31
"Phosphorus, P",mg,66,33,3.000,60,401,20,100,29,98
"Potassium, K",mg,316,37,7.000,288,1921,98,477,139,468
"Sodium, Na",mg,33,42,5.000,30,201,10,50,15,49
"Zinc, Zn",mg,0.41,33,0.010,0.37,2.49,0.13,0.62,0.18,0.61
"Copper, Cu",mg,0.049,33,0.012,0.045,0.298,0.015,0.074,0.022,0.073
"Manganese, Mn",mg,0.210,23,0.007,0.191,1.277,0.065,0.317,0.092,0.311
"Selenium, Se",µg,2.5,8,0.100,2.3,15.2,0.8,3.8,1.1,3.7
Vitamins
"Vitamin C, total ascorbic acid",mg,89.2,19,3.900,81.2,542.3,27.7,134.7,39.2,132.0
"Thiamin",mg,0.071,23,0.010,0.065,0.432,0.022,0.107,0.031,0.105
"Riboflavin",mg,0.117,23,0.020,0.106,0.711,0.036,0.177,0.051,0.173
"Niacin",mg,0.639,23,0.064,0.581,3.885,0.198,0.965,0.281,0.946
"Pantothenic acid",mg,0.573,23,0.046,0.521,3.484,0.178,0.865,0.252,0.848
"Vitamin B-6",mg,0.175,23,0.031,0.159,1.064,0.054,0.264,0.077,0.259
"Folate, total",µg,63,27,12.000,57,383,20,95,28,93
"Folic acid",µg,0,--,--,0,0,0,0,0,0
"Folate, food",µg,63,27,12.000,57,383,20,95,28,93
"Folate, DFE",µg,63,--,--,57,383,20,95,28,93
"Choline, total",mg,18.7,--,--,17.0,113.7,5.8,28.2,8.2,27.7
"Betaine",mg,0.1,2,--,0.1,0.6,0.0,0.2,0.0,0.1
"Vitamin B-12",µg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,31,--,--,28,188,10,47,14,46
"Retinol",µg,0,--,--,0,0,0,0,0,0
"Carotene, beta",µg,361,124,7.000,329,2195,112,545,159,534
"Carotene, alpha",µg,25,55,3.000,23,152,8,38,11,37
"Cryptoxanthin, beta",µg,1,52,0.000,1,6,0,2,0,1
"Vitamin A, IU",IU,623,--,--,567,3788,193,941,274,922
"Lycopene",µg,0,10,0.000,0,0,0,0,0,0
"Lutein + zeaxanthin",µg,1403,7,40.000,1277,8530,435,2119,617,2076
"Vitamin E (alpha-tocopherol)",mg,0.78,12,0.090,0.71,4.74,0.24,1.18,0.34,1.15
"Vitamin E, added",mg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00
"Tocopherol, beta",mg,0.01,12,0.005,0.01,0.06,0.00,0.02,0.00,0.01
"Tocopherol, gamma",mg,0.17,12,0.040,0.15,1.03,0.05,0.26,0.07,0.25
"Tocopherol, delta",mg,0.00,12,0.000,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,--,--,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,101.6,8,3.800,92.5,617.7,31.5,153.4,44.7,150.4
Lipids
"Fatty acids, total saturated",g,0.114,--,--,0.104,0.693,0.035,0.172,0.050,0.169
"4:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000
"6:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000
"8:0",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000
"10:0",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000
"12:0",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000
"14:0",g,0.002,2,--,0.002,0.012,0.001,0.003,0.001,0.003
"15:0",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000
"16:0",g,0.084,2,--,0.076,0.511,0.026,0.127,0.037,0.124
"17:0",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000
"18:0",g,0.018,2,--,0.016,0.109,0.006,0.027,0.008,0.027
"20:0",g,0.006,2,--,0.005,0.036,0.002,0.009,0.003,0.009
"22:0",g,0.004,2,--,0.004,0.024,0.001,0.006,0.002,0.006
"Fatty acids, total monounsaturated",g,0.031,--,--,0.028,0.188,0.010,0.047,0.014,0.046
"14:1",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000
"15:1",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000
"16:1 undifferentiated",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000
"17:1",g,0.002,2,--,0.002,0.012,0.001,0.003,0.001,0.003
"18:1 undifferentiated",g,0.029,2,--,0.026,0.176,0.009,0.044,0.013,0.043
"20:1",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000
"22:1 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.112,--,--,0.102,0.681,0.035,0.169,0.049,0.166
"18:2 undifferentiated",g,0.049,2,--,0.045,0.298,0.015,0.074,0.022,0.073
"18:3 undifferentiated",g,0.063,2,--,0.057,0.383,0.020,0.095,0.028,0.093
"18:3 n-6 c,c,c",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000
"18:4",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000
"20:2 n-6 c,c",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000
"20:3 undifferentiated",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000
"20:4 undifferentiated",g,0.000,2,--,0.000,0.000,0.000,0.000,0.000,0.000
"20:5 n-3 (EPA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000
"22:5 n-3 (DPA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000
"22:6 n-3 (DHA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total trans",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,--,--,0,0,0,0,0,0
Amino Acids
"Tryptophan",g,0.033,4,0.003,0.030,0.201,0.010,0.050,0.015,0.049
"Threonine",g,0.088,4,0.002,0.080,0.535,0.027,0.133,0.039,0.130
"Isoleucine",g,0.079,4,0.002,0.072,0.480,0.024,0.119,0.035,0.117
"Leucine",g,0.129,4,0.005,0.117,0.784,0.040,0.195,0.057,0.191
"Lysine",g,0.135,4,0.003,0.123,0.821,0.042,0.204,0.059,0.200
"Methionine",g,0.038,4,0.001,0.035,0.231,0.012,0.057,0.017,0.056
"Cystine",g,0.028,4,0.000,0.025,0.170,0.009,0.042,0.012,0.041
"Phenylalanine",g,0.117,4,0.000,0.106,0.711,0.036,0.177,0.051,0.173
"Tyrosine",g,0.050,4,0.002,0.045,0.304,0.015,0.076,0.022,0.074
"Valine",g,0.125,4,0.003,0.114,0.760,0.039,0.189,0.055,0.185
"Arginine",g,0.191,4,0.006,0.174,1.161,0.059,0.288,0.084,0.283
"Histidine",g,0.059,4,0.000,0.054,0.359,0.018,0.089,0.026,0.087
"Alanine",g,0.104,4,0.004,0.095,0.632,0.032,0.157,0.046,0.154
"Aspartic acid",g,0.325,4,0.013,0.296,1.976,0.101,0.491,0.143,0.481
"Glutamic acid",g,0.542,4,0.030,0.493,3.295,0.168,0.818,0.238,0.802
"Glycine",g,0.089,4,0.003,0.081,0.541,0.028,0.134,0.039,0.132
"Proline",g,0.110,4,0.015,0.100,0.669,0.034,0.166,0.048,0.163
"Serine",g,0.121,4,0.005,0.110,0.736,0.038,0.183,0.053,0.179
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0,0.0,0.0,0.0,0.0
"Caffeine",mg,0,--,--,0,0,0,0,0,0
"Theobromine",mg,0,--,--,0,0,0,0,0,0
Flavonoids
Anthocyanidins
"Cyanidin",mg,0.0,4,0.000,0.0,0.0,0.0,0.0,0.0,0.0
"Petunidin",mg,0.0,4,0.000,0.0,0.0,0.0,0.0,0.0,0.0
"Delphinidin ",mg,0.0,4,0.000,0.0,0.0,0.0,0.0,0.0,0.0
"Malvidin",mg,0.0,4,0.000,0.0,0.0,0.0,0.0,0.0,0.0
"Pelargonidin",mg,0.0,4,0.000,0.0,0.0,0.0,0.0,0.0,0.0
"Peonidin",mg,0.0,4,0.000,0.0,0.0,0.0,0.0,0.0,0.0
Flavan-3-ols
"(+)-Catechin",mg,0.0,10,0.000,0.0,0.0,0.0,0.0,0.0,0.0
"(-)-Epigallocatechin",mg,0.0,10,0.000,0.0,0.0,0.0,0.0,0.0,0.0
"(-)-Epicatechin",mg,0.0,10,0.000,0.0,0.0,0.0,0.0,0.0,0.0
"(-)-Epicatechin 3-gallate",mg,0.0,10,0.000,0.0,0.0,0.0,0.0,0.0,0.0
"(-)-Epigallocatechin 3-gallate",mg,0.0,10,0.000,0.0,0.0,0.0,0.0,0.0,0.0
"(+)-Gallocatechin",mg,0.0,10,0.000,0.0,0.0,0.0,0.0,0.0,0.0
Flavanones
"Hesperetin",mg,0.0,6,0.000,0.0,0.0,0.0,0.0,0.0,0.0
"Naringenin",mg,0.0,6,0.000,0.0,0.0,0.0,0.0,0.0,0.0
Flavones
"Apigenin",mg,0.0,11,0.000,0.0,0.0,0.0,0.0,0.0,0.0
"Luteolin",mg,0.8,15,0.170,0.7,4.9,0.2,1.2,0.4,1.2
Flavonols
"Kaempferol",mg,7.8,115,0.600,7.1,47.7,2.4,11.8,3.4,11.6
"Myricetin",mg,0.1,13,0.050,0.1,0.4,0.0,0.1,0.0,0.1
"Quercetin",mg,3.3,116,0.220,3.0,19.8,1.0,4.9,1.4,4.8
Isoflavones
"Daidzein",mg,0.00,1,--,0.00,0.00,0.00,0.00,0.00,0.00
