Source: USDA National Nutrient Database for Standard Reference Legacy April 2018 Software v.3.9.4 2018-05-17
Full Report (All Nutrients)
Report Run at: July 01, 2018 15:39 EDT
"Nutrient data for: 11233, Kale, raw"
Food Group:  Vegetables and Vegetable Products
Common Name:
Carbohydrate Factor: 3.57 Fat Factor: 8.37 Protein Factor: 2.44 Nitrogen to Protein Conversion Factor: 6.25 
Refuse: 28% Refuse Description: Stem ends, tough stems and tough midrib parts 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup = 21.0g",
Proximates
"Water",g,89.63,5,0.240,18.82
"Energy",kcal,35,--,--,7
"Energy",kJ,148,--,--,31
"Protein",g,2.92,5,0.290,0.61
"Total lipid (fat)",g,1.49,5,0.020,0.31
"Ash",g,1.54,5,0.080,0.32
"Carbohydrate, by difference",g,4.42,--,--,0.93
"Fiber, total dietary",g,4.1,2,--,0.9
"Sugars, total",g,0.99,2,--,0.21
"Sucrose",g,0.18,2,--,0.04
"Glucose (dextrose)",g,0.40,2,--,0.08
"Fructose",g,0.41,2,--,0.09
"Lactose",g,0.00,2,--,0.00
"Maltose",g,0.00,2,--,0.00
"Galactose",g,0.00,2,--,0.00
Minerals
"Calcium, Ca",mg,254,5,14.000,53
"Iron, Fe",mg,1.60,5,0.510,0.34
"Magnesium, Mg",mg,33,5,3.000,7
"Phosphorus, P",mg,55,5,2.000,12
"Potassium, K",mg,348,5,14.000,73
"Sodium, Na",mg,53,5,21.000,11
"Zinc, Zn",mg,0.39,5,0.060,0.08
"Copper, Cu",mg,0.053,5,0.008,0.011
"Manganese, Mn",mg,0.920,5,0.181,0.193
"Selenium, Se",µg,0.9,--,--,0.2
Vitamins
"Vitamin C, total ascorbic acid",mg,93.4,5,3.500,19.6
"Thiamin",mg,0.113,3,0.017,0.024
"Riboflavin",mg,0.347,3,0.044,0.073
"Niacin",mg,1.180,3,0.207,0.248
"Pantothenic acid",mg,0.370,2,--,0.078
"Vitamin B-6",mg,0.147,3,0.013,0.031
"Folate, total",µg,62,3,5.000,13
