Source: USDA National Nutrient Database for Standard Reference Legacy April 2018 Software v.3.9.4 2018-05-17
Full Report (All Nutrients)
Report Run at: July 01, 2018 17:03 EDT
"Nutrient data for: 11821, Peppers, sweet, red, raw"
Food Group:  Vegetables and Vegetable Products
Common Name:
Carbohydrate Factor: 3.57 Fat Factor: 8.37 Protein Factor: 2.44 Nitrogen to Protein Conversion Factor: 6.25 
Refuse: 18% Refuse Description: Stem ends, seed and core 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup, chopped = 149.0g","1 cup, sliced = 92.0g","1 tablespoon = 9.3g","1 large (2-1/4 per pound, approx 3-3/4"" long, 3"" dia.) = 164.0g","1 medium (approx 2-3/4"" long, 2-1/2 dia.) = 119.0g","1 small = 74.0g","1 ring (3"" dia., 1/4"" thick) = 10.0g",
Proximates
"Water",g,92.21,4,0.390,137.39,84.83,8.58,151.22,109.73,68.24,9.22
"Energy",kcal,26,--,--,39,24,2,43,31,19,3
"Energy",kJ,111,--,--,165,102,10,182,132,82,11
"Protein",g,0.99,4,0.030,1.48,0.91,0.09,1.62,1.18,0.73,0.10
"Total lipid (fat)",g,0.30,4,0.009,0.45,0.28,0.03,0.49,0.36,0.22,0.03
"Ash",g,0.47,4,0.030,0.70,0.43,0.04,0.77,0.56,0.35,0.05
"Carbohydrate, by difference",g,6.03,--,--,8.98,5.55,0.56,9.89,7.18,4.46,0.60
"Fiber, total dietary",g,2.1,--,--,3.1,1.9,0.2,3.4,2.5,1.6,0.2
"Sugars, total",g,4.20,--,--,6.26,3.86,0.39,6.89,5.00,3.11,0.42
"Sucrose",g,0.00,4,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Glucose (dextrose)",g,1.94,4,0.120,2.89,1.78,0.18,3.18,2.31,1.44,0.19
"Fructose",g,2.26,4,0.100,3.37,2.08,0.21,3.71,2.69,1.67,0.23
"Lactose",g,0.00,4,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Maltose",g,0.00,4,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Galactose",g,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Starch",g,0.00,2,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Minerals
