"USDA Id";"Item";"Energy [kcal]";"Carbohydrate, by difference [g]";"Fiber, total dietary [g]";"Sugars, total [g]";"Protein [g]";"Total lipid (fat) [g]";"Fatty acids, total saturated [g]";"Fatty acids, total monounsaturated [g]";"Fatty acids, total polyunsaturated [g]";"Fatty acids, total trans [g]";"Calcium, Ca [mg]";"Copper, Cu [mg]";"Fluoride, F";"Iron, Fe [mg]";"Magnesium, Mg [mg]";"Manganese, Mn [mg]";"Phosphorus, P [mg]";"Potassium, K [mg]";"Selenium, Se [µg]";"Sodium, Na [mg]";"Zinc, Zn [mg]";"Vitamin A, IU [IU]";"Vitamin B-6 [mg]";"Vitamin B-12 [µg]";"Vitamin C, total ascorbic acid [mg]";"Vitamin D [IU]";"Vitamin E (alpha-tocopherol) [mg]";"Vitamin K (phylloquinone) [µg]";"Carotene, alpha [µg]";"Carotene, beta [µg]";"Betaine [mg]";"Choline, total [mg]";"Folate, total [µg]";"Niacin [mg]";"Pantothenic acid [mg]";"Riboflavin [mg]";"Thiamin [mg]"
"09150";"Lemons, raw, without peel";"29";"9,32";"2,8";"2,50";"1,10";"0,30";"0,039";"0,011";"0,089";"0,000";"26";"0,037";"---";"0,60";"8";"0,030";"16";"138";"0,4";"2";"0,06";"22";"0,080";"0,00";"53,0";"0";"0,15";"0,0";"1";"3";"---";"5,1";"11";"0,100";"0,190";"0,020";"0,040"
"09156";"Lemon peel, raw";"47";"16,00";"10,6";"4,17";"1,50";"0,30";"0,039";"0,011";"0,089";"0,000";"134";"0,092";"---";"0,80";"15";"---";"12";"160";"0,7";"6";"0,25";"50";"0,172";"0,00";"129,0";"0";"0,25";"0,0";"1";"7";"---";"8,5";"13";"0,400";"0,319";"0,080";"0,060"
"11282";"Onions, raw";"40";"9,34";"1,7";"4,24";"1,10";"0,10";"0,042";"0,013";"0,017";"0,000";"23";"0,039";"1,1";"0,21";"10";"0,129";"29";"146";"0,5";"4";"0,17";"2";"0,120";"0,00";"7,4";"0";"0,02";"0,4";"0";"1";"0,1";"6,1";"19";"0,116";"0,123";"0,027";"0,046"
"11529";"Tomatoes, red, ripe, raw, year round average";"18";"3,89";"1,2";"2,63";"0,88";"0,20";"0,028";"0,031";"0,083";"0,000";"10";"0,059";"2,3";"0,27";"11";"0,114";"24";"237";"0,0";"5";"0,17";"833";"0,080";"0,00";"13,7";"0";"0,54";"7,9";"101";"449";"0,1";"6,7";"15";"0,594";"0,089";"0,019";"0,037"
"12061";"Nuts, almonds";"579";"21,55";"12,5";"4,35";"21,15";"49,93";"3,802";"31,551";"12,329";"0,015";"269";"1,031";"---";"3,71";"270";"2,179";"481";"733";"4,1";"1";"3,12";"2";"0,137";"0,00";"0,0";"0";"25,63";"0,0";"0";"1";"0,5";"52,1";"44";"3,618";"0,471";"1,138";"0,205"
"12078";"Nuts, brazilnuts, dried, unblanched";"659";"11,74";"7,5";"2,33";"14,32";"67,10";"16,134";"23,879";"24,399";"---";"160";"1,743";"---";"2,43";"376";"1,223";"725";"659";"1917,0";"3";"4,06";"0";"0,101";"0,00";"0,7";"0";"5,65";"0,0";"0";"0";"0,4";"28,8";"22";"0,295";"0,184";"0,035";"0,617"
"12131";"Nuts, macadamia nuts, raw";"718";"13,82";"8,6";"4,57";"7,91";"75,77";"12,061";"58,877";"1,502";"---";"85";"0,756";"---";"3,69";"130";"4,131";"188";"368";"3,6";"5";"1,30";"0";"0,275";"0,00";"1,2";"0";"0,54";"---";"---";"---";"---";"---";"11";"2,473";"0,758";"0,162";"1,195"
"12142";"Nuts, pecans";"691";"13,86";"9,6";"3,97";"9,17";"71,97";"6,180";"40,801";"21,614";"---";"70";"1,200";"10,0";"2,53";"121";"4,500";"277";"410";"3,8";"0";"4,53";"56";"0,210";"0,00";"1,1";"0";"1,40";"3,5";"0";"29";"0,7";"40,5";"22";"1,167";"0,863";"0,130";"0,660"
"12155";"Nuts, walnuts, english";"654";"13,71";"6,7";"2,61";"15,23";"65,21";"6,126";"8,933";"47,174";"---";"98";"1,586";"---";"2,91";"158";"3,414";"346";"441";"4,9";"2";"3,09";"20";"0,537";"0,00";"1,3";"0";"0,70";"2,7";"0";"12";"0,3";"39,2";"98";"1,125";"0,570";"0,150";"0,341"
"301183";"Oranges, raw, all commercial varieties";"47";"11,75";"2,4";"9,35";"0,94";"0,12";"0,015";"0,023";"0,025";"0,000";"40";"0,045";"---";"0,10";"10";"0,025";"14";"181";"0,5";"0";"0,07";"225";"0,060";"0,00";"53,2";"0";"0,18";"0,0";"11";"71";"---";"8,4";"30";"0,282";"0,250";"0,040";"0,087"
