redding,electro,len_inch
147.00,147.43,0.667
147.00,147.41,0.663
147.05,147.49,0.663
147.10,147.61,0.663
147.10,147.55,0.665
147.10,147.46,0.661
147.10,147.50,0.662
147.12,147.53,0.663
147.12,147.49,0.664
147.15,147.60,0.663
147.17,147.55,0.664
147.18,147.61,0.662
147.20,147.62,0.665
147.20,147.44,0.662
147.20,147.50,0.665
147.28,147.64,0.662
147.29,147.66,0.663
147.30,147.73,0.663
147.30,147.73,0.663
147.32,147.70,0.663
147.38,147.75,0.665
147.39,147.73,0.667
147.40,147.86,0.669
147.40,147.81,0.664
147.40,147.83,0.664
147.40,147.75,0.663
147.42,147.87,0.662
147.45,147.83,0.667
147.45,147.83,0.661
147.48,147.81,0.662
147.50,147.93,0.664
147.50,147.92,0.665
147.50,147.89,0.664
147.63,148.09,0.662
147.65,147.92,0.662
147.65,148.07,0.665
147.68,148.03,0.664
147.70,148.09,0.668
147.70,148.12,0.664
147.70,148.12,0.667
147.70,148.09,0.666
147.70,148.07,0.668
147.70,148.14,0.664
147.70,148.04,0.665
147.72,148.10,0.663
147.72,148.09,0.664
147.72,148.12,0.665
147.72,148.04,0.661
147.75,148.15,0.665
147.75,148.12,0.663
147.75,148.09,0.665
147.80,148.21,0.662
147.80,148.23,0.667
147.80,148.26,0.666
147.80,148.18,0.665
147.81,148.23,0.666
147.85,148.24,0.662
147.90,148.29,0.663
147.90,148.24,0.663
147.90,148.38,0.671
147.90,148.29,0.665
147.90,148.20,0.666
147.90,148.29,0.664
147.92,148.32,0.665
147.92,148.35,0.667
147.98,148.40,0.666
147.98,148.35,0.662
148.00,148.54,0.669
148.00,148.44,0.665
148.00,148.43,0.661
148.00,148.34,0.664
148.05,148.49,0.667
148.05,148.40,0.666
148.05,148.41,0.665
148.10,148.51,0.665
148.10,148.49,0.667
148.10,148.51,0.664
148.12,148.51,0.666
148.20,148.61,0.668
148.20,148.57,0.665
148.22,148.63,0.667
148.25,148.60,0.667
148.27,148.63,0.665
148.28,148.64,0.664
148.29,148.68,0.666
148.30,148.64,0.663
148.30,148.60,0.664
148.30,148.74,0.665
148.30,148.68,0.668
148.30,148.74,0.666
148.30,148.63,0.666
148.40,148.85,0.667
148.40,148.80,0.668
148.40,148.72,0.668
148.40,148.78,0.666
148.40,148.72,0.665
148.45,148.85,0.665
148.58,148.91,0.664
148.68,149.06,0.667
148.70,149.06,0.667
147.79,148.18,0.668
147.75,148.14,0.665
148.36,148.75,0.670
147.41,147.80,0.665
148.02,148.41,0.668
147.68,148.07,0.669
148.39,148.78,0.668
148.18,148.57,0.666
148.49,148.88,0.671
148.61,149.00,0.669
147.84,148.23,0.669
148.33,148.72,0.667
147.62,148.01,0.668
147.07,147.46,0.664
147.19,147.58,0.667
147.82,148.21,0.668
148.21,148.60,0.666
147.53,147.92,0.665
147.41,147.80,0.665
147.70,148.09,0.667
147.93,148.32,0.669
147.10,147.49,0.664
147.64,148.03,0.666
147.71,148.10,0.665
147.51,147.90,0.665
